"OrganizationLogin","RepositoryName","ReviewerLogin","HtmlUrl","Body"
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/3689#issuecomment-1093131150","we removed /Compatibility.Android.FormsViewGroup.csproj "
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/5181#issuecomment-1063951812","Isn't the mapper doing that ? "
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/3535#discussion_r756005635","The thing i see here is that now these events will fire before they actually happen on the native . Let's say i m clearing something on disappearing, could it happen that the page is still on the screen because the platform code didn't happen yet? Like it didn't awaited DismissViewControllerAsync"
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/5736#issuecomment-1085728636","Can you target rc1 branch ? 
"
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/8273#issuecomment-1171406792","Can we add a device test? "
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/5525#issuecomment-1080752124","Needs rebase"
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/459#issuecomment-804847608","Do we still want to do this @mattleibow  ? 
"
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/7785#issuecomment-1161856671","@TanayParikh  why the do not merge here? these aren't public ? "
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/2551#discussion_r712439760","Do we want this public already? "
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/514#issuecomment-801855900","He @jonathanpeppers  i think most of us use the not net6 solution to get stuff done right now.. We might use build.sh or command to build stuff sometimes. 

I think we should use a cake target that does the dotnet build, and also update cake builds to use that dotnet version,
 then use a target that launches the IDE with everything setup.
 
 "
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/8250#discussion_r905269265","was it returning -1 before ? "
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/5706#issuecomment-1092694905","Can we add a device test to Controls? "
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/3391#issuecomment-969194541","Test is failing on iOS ..

https://dev.azure.com/xamarin/public/_build/results?buildId=49864&view=ms.vss-test-web.build-test-results-tab"
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/6736#issuecomment-1114972517","Anyone know how i can configure this to just get updates of the full version? (major, minor and patch) ? "
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/5560#discussion_r835143657","Nop, we should use the latest stable. this is only used like @jonathanpeppers said for CI. I can also try to remove this need if that's a issue. Should we fix the script @jonathanpeppers  ? maybe hardcode this value on the script? "
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/2469#issuecomment-921988041","@Eilon can you review this one ? "
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/1644#discussion_r681166853","We have alotttttt of them.. i think we keep it for now"
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/3529#discussion_r759503928","```suggestion
				result = nativeView?.Window?.RenderAsPng(nativeView.Layer, UIScreen.MainScreen.Scale, skipChildren);
```"
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/436#discussion_r590164534","I don't think we should have a `MainWindow` I agree in a WindowCollection for all the created Windows. "
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/6301#issuecomment-1103790408","@dependabot rebase"
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/3351#discussion_r759569257","Should we drop this? "
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/7724#issuecomment-1147682611","or mark it internal for now and add a TODO for net7"
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/5588#issuecomment-1080921830","```
   (_ReadAndroidManifest target) -> 
         obj\Release\net6.0-android\android\AndroidManifest.xml : error XA4218: Unable to find //manifest/application/uses-library at path: C:\Program Files (x86)\Android\android-sdk\platforms\android-31\optional\androidx.window.extensions.jar [D:\a\_work\_temp\templatesTestmaui\templatesTestmaui.csproj]
         obj\Release\net6.0-android\android\AndroidManifest.xml : error XA4218: Unable to find //manifest/application/uses-library at path: C:\Program Files (x86)\Android\android-sdk\platforms\android-31\optional\androidx.window.sidecar.jar [D:\a\_work\_temp\templatesTestmaui\templatesTestmaui.csproj]
```"
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/3368#discussion_r749577859","yeah i guess.. "
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/1477#issuecomment-926946722","@rachelkang  you can try again, i fixed that on main, and merged now on this branch"
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/8264#issuecomment-1164292300","@dependabot rebase"
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/174#issuecomment-690330709","@domagojmedo  thanks very muck , right now we will start this work on the Xamarin.Forms repo on the main branch.
Do you think you can do this work there? "
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/4554#issuecomment-1041699647","@hartez  can you confirm i didn't screw the rebase ? :) "
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/2038#discussion_r688570860","CarouselVIew doesn't crashes iff Loop =true on Android, and doesn't show when Loop=False"
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/718#issuecomment-825810374","@rachelkang  i think you can't slide by default because is just 0 and 1 

try something like :

```
new Slider { Minimum = 0, Maximum = 10, MinimumTrackColor = Colors.Pink, MaximumTrackColor = Colors.Red }
```"
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/2306#issuecomment-919416949","Build failures on Windows , you need to run the winui solution

```
  D:\agent\1\s\src\Core\src\Platform\Windows\DatePickerExtensions.cs(14,32): error CS1503: Argument 2: cannot convert from 'System.DateTime?' to 'Microsoft.Maui.IDatePicker' [D:\agent\1\s\src\Core\src\Core-net6.csproj]

```"
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/6269#issuecomment-1103743951","wow dependabot is smart"
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/4826#issuecomment-1047862200","@jsuarezruiz  if you check we added Mappers for those properties 

https://github.com/dotnet/maui/blob/main/src/Core/src/Handlers/WebView/WebViewHandler.Android.cs#L54"
"xamarin","maui","rmarinho","https://github.com/xamarin/maui/pull/43#discussion_r414589805","Why not a IFrameworkElement ? "
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/7532#issuecomment-1141022959","Seems is building fine"
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/2137#issuecomment-904983019","Not a fan of. the ""Native"" in the namings.. I think the most used api should be MauiApplication and MauiWindow in all platforms "
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/6081#issuecomment-1125004167","Oh right i was thinking it was 6.0.5 also. but i see now is 6.0.6"
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/3351#discussion_r759551870","```suggestion
		/// <param name=""useNativeViewBounds"">If true, use native view bounds for given elements. Else, use the Elements Frame.</param>
```"
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/1007#issuecomment-926792762","Created a issue for this @rachelkang  https://github.com/dotnet/maui/issues/2685"
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/974#discussion_r632636112","this was wrong but i fixed it "
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/4775#discussion_r812296703","Well doing locally should be something like: 

`dotnet cake --target=VS-NET6`"
"dotnet","maui","rmarinho","https://github.com/dotnet/maui/pull/6081#issuecomment-1125312245","We have this other #7107  with 6.0.5 that will not be for GA but for servicing. We already branched the GA version "
